encabezado,enlace,fuente,fecha,clase
Reportan primera muerte por misterioso brote de neumonía en China,https://www.eluniversal.com.mx/mundo/reportan-primera-muerte-por-misterioso-brote-de-neumonia-en-china,universal,11-01-2020,1
Primer caso en Tailandia de nuevo virus procedente de China,https://www.eluniversal.com.mx/mundo/primer-caso-en-tailandia-de-nuevo-virus-procedente-de-china,universal,13-01-2020,0
"OMS dice nuevo virus en China podría propagarse, alerta a hospitales",https://www.la-prensa.com.mx/mundo/oms-dice-nuevo-virus-en-china-podria-propagarse-alerta-a-hospitales-4698991.html,laprensa,14-01-2020,1
Identifican un nuevo coronavirus responsable de una misteriosa neumonía en China,https://www.eluniversal.com.mx/ciencia-y-salud/china-identifican-un-nuevo-coronavirus-responsable-de-una-misteriosa-neumonia,universal,15-01-2020,1
Nuevo brote de coronavirus proveniente de China llega a Japón y Tailandia ,https://www.milenio.com/internacional/asia-y-oceania/japon-tailandia-registran-pacientes-coronavirus-origen-chino,milenio,15-01-2020,0
Reportan segunda muerte por extraño brote de neumonía en China,https://www.eluniversal.com.mx/mundo/reportan-segunda-muerte-por-extrano-brote-de-neumonia-en-china,universal,16-01-2020,1
Japón confirma primer caso de infección por coronavirus chino ,https://www.milenio.com/internacional/asia-y-oceania/japon-confirma-caso-infeccion-coronavirus-chino,milenio,16-01-2020,1
Muere otro hombre por brote de neumonía en China,https://www.milenio.com/internacional/en-china-muere-segundo-hombre-por-neumonia,milenio,16-01-2020,0
EU vigilará vuelos provenientes de China tras segunda muerte por extraño virus,https://www.eluniversal.com.mx/mundo/eu-vigilara-vuelos-provenientes-de-china-tras-segunda-muerte-por-extrano-virus,universal,17-01-2020,1
México toma medidas preventivas contra misterioso brote de neumonía registrado en China,https://www.eluniversal.com.mx/nacion/mexico-toma-medidas-preventivas-contra-brote-de-neumonia-en-china,universal,17-01-2020,1
China reporta 17 nuevos casos de extraño brote de neumonía,https://www.eluniversal.com.mx/mundo/china-reporta-17-nuevos-casos-de-extrano-brote-de-neumonia,universal,18-01-2020,1
"Misterioso virus detectado en China se contagia entre humanos, según experto",https://www.eluniversal.com.mx/mundo/virus-detectado-en-china-se-contagia-entre-humanos-advierten,universal,20-01-2020,1
"Virus detectado en China se contagia entre humanos, según experto del gobierno",https://www.la-prensa.com.mx/mundo/virus-detectado-en-china-se-contagia-entre-humanos-segun-experto-del-gobierno-4723642.html,laprensa,20-01-2020,1
Crece alerta global por virus de China,https://www.eluniversal.com.mx/mundo/crece-alerta-global-por-virus-de-china,universal,21-01-2020,1
Suman 6 muertos por coronavirus en China,https://www.eluniversal.com.mx/mundo/virus-en-china-suman-6-muertos-por-coronavirus,universal,21-01-2020,1
Así se preparan varios países del mundo por nuevo coronavirus,https://www.eluniversal.com.mx/mundo/coronavirus-asi-se-preparan-los-paises-del-mundo-por-nuevo-virus,universal,21-01-2020,0
Confirman primer caso de coronavirus de China en EU,https://www.eluniversal.com.mx/mundo/confirman-primer-caso-de-coronavirus-de-china-en-eu,universal,21-01-2020,0
"Infectado, médico de China que investigaba brote de coronavirus",https://www.eluniversal.com.mx/mundo/coronavirus-infectado-medico-que-investigaba-brote-en-china,universal,21-01-2020,1
Las enfermedades que causaron alarma mundial antes del coronavirus en China,https://www.eluniversal.com.mx/mundo/las-enfermedades-que-causaron-alarma-mundial-antes-del-coronavirus,universal,21-01-2020,1
Lo que debes saber sobre el brote de coronavirus en China,https://www.eluniversal.com.mx/mundo/china-lo-que-debes-saber-sobre-el-brote-de-coronavirus-en-wuhan,universal,21-01-2020,0
No es la primera vez que una cepa de coronavirus impacta el mundo,https://www.eluniversal.com.mx/ciencia-y-salud/coronavirus-no-es-la-primera-vez-que-esta-cepa-impacta-el-mundo,universal,21-01-2020,1
México cuenta con pruebas para confirmar casos sospechosos de coronavirus,https://www.eluniversal.com.mx/nacion/mexico-cuenta-con-pruebas-para-confirmar-casos-sospechosos-de-coronavirus,universal,21-01-2020,0
Lo que sabemos sobre el nuevo coronavirus chino,https://www.milenio.com/internacional/asia-y-oceania/lo-que-sabemos-sobre-el-nuevo-virus-chino,milenio,21-01-2020,0
Temor por virus de China 'contagia' a la Bolsa Mexicana de Valores,https://www.milenio.com/negocios/bmv-abre-baja-temores-virus-china,milenio,21-01-2020,1
Detectan el primer caso de coronavirus en EU,https://www.milenio.com/internacional/estados-unidos/reportan-el-primer-caso-de-coronavirus-en-eu,milenio,21-01-2020,0
"Por coronavirus, piden a mexicanos en China usar mascarilla y evitar zonas frías",https://www.milenio.com/politica/coronavirus-consulado-mexico-china-emite-recomendaciones,milenio,21-01-2020,0
Van seis muertos en China por coronavirus,https://www.milenio.com/internacional/asia-y-oceania/van-seis-muertos-en-china-por-coronavirus,milenio,21-01-2020,1
Acciones de aerolíneas caen por temor a coronavirus de China,https://www.milenio.com/negocios/por-coronavirus-de-china-acciones-de-aerolineas-caen,milenio,21-01-2020,1
"AICM, en espera de protocolo de la OMS por coronavirus",https://www.milenio.com/negocios/aimc-espera-protocolo-oms-coronavirus-china,milenio,21-01-2020,0
"Por coronavirus, Guatemala instala oficina en aeropuerto para vigilar epidemia",https://www.milenio.com/internacional/coronavirus-guatemala-instala-oficina-vigilancia-aeropuerto,milenio,21-01-2020,1
Éstas son las medidas a aplicar en México por coronavirus,https://www.milenio.com/internacional/coronavirus-en-mexico-estas-son-las-medidas-a-aplicar,milenio,21-01-2020,0
