doc_id,fuente,clase_real,clase_nombre,num_frases,p_full,pred_full,p_mean,p_max,p_min,p_top2,p_top3,p_first,p_w_mean,p_std,gap_peak_mean,agree_mean,agree_max,agree_top2,agree_first,p_no_top1,p_no_top2,p_no_top3,p_no_rand,drop_top1,drop_top2,drop_top3,drop_rand,flip_top1,flip_top2,flip_top3,flip_rand,frase_top1
AMA_0,Amarillismo Real (Prensa),1,Amarillista,20,0.11529678851366043,0,0.7803357243537903,0.9855791330337524,0.3607192933559418,0.9841345548629761,0.9818957448005676,0.9604589343070984,0.8079691459942195,0.2019985467195511,0.20524340867996216,0,0,0,0,0.26016155,0.109821275,0.109392546,0.37228492,-0.14486477,0.0054755136,0.0059042424,-0.25698814,False,False,False,False,Y Lemoine asegura que LaMDA
AMA_1,Amarillismo Real (Prensa),1,Amarillista,23,0.005569578614085913,0,0.5929204821586609,0.9384317994117737,0.28301990032196045,0.9035813808441162,0.8821244835853577,0.7821857333183289,0.5407516700917762,0.18615560233592987,0.3455113172531128,0,0,0,0,0.01076528,0.010656759,0.009410496,0.00960311,-0.005195701,-0.0050871805,-0.0038409173,-0.0040335315,False,False,False,False,dijo Masayuki Kuzuhara
AMA_2,Amarillismo Real (Prensa),1,Amarillista,24,0.5517211556434631,1,0.6010286808013916,0.9875680208206177,0.10413478314876556,0.9834244847297668,0.9631140232086182,0.979280948638916,0.5179269442298118,0.23273518681526184,0.3865393400192261,1,1,1,1,0.3330264,0.008220991,0.0077767577,0.5427576,0.21869475,0.5435002,0.5439444,0.008963585,True,True,True,False,que dice que esta serpiente personificaba el mal y el caos
AMA_3,Amarillismo Real (Prensa),1,Amarillista,14,0.8692474365234375,1,0.8157702684402466,0.9798120260238647,0.595529317855835,0.9797741174697876,0.9769752621650696,0.9297991394996643,0.8500893095145861,0.13830022513866425,0.16404175758361816,1,1,1,1,0.91590106,0.9739007,0.9648573,0.8218204,-0.04665363,-0.10465324,-0.095609844,0.04742706,False,False,False,False,Los expertos lograron descubrir células de ADN sanas en un dinosaurio fósil y se podría experimentar un escenario de parque jurásico de la vida real si los científicos pueden clonar al animal
AMA_4,Amarillismo Real (Prensa),1,Amarillista,27,0.004894071724265814,0,0.5957287549972534,0.9238103628158569,0.32460564374923706,0.9218404293060303,0.9125421643257141,0.82172030210495,0.6093363862723034,0.1686950922012329,0.3280816078186035,0,0,0,0,0.011391699,0.008937667,0.0076392745,0.0135637885,-0.0064976276,-0.0040435954,-0.0027452027,-0.008669717,False,False,False,False,elixir de la juventud
AMA_5,Amarillismo Real (Prensa),1,Amarillista,17,0.600999653339386,1,0.6866281032562256,0.9809949994087219,0.2573792636394501,0.9752089381217957,0.969127357006073,0.9809949994087219,0.6575148763436992,0.23116694390773773,0.29436689615249634,1,1,1,1,0.46367872,0.068777956,0.19744757,0.92862093,0.13732094,0.5322217,0.4035521,-0.32762128,True,True,True,False,El artífice de los trasplantes con corazón de cerdo
AMA_6,Amarillismo Real (Prensa),1,Amarillista,19,0.03587287664413452,0,0.522714376449585,0.9815327525138855,0.047941092401742935,0.9783382415771484,0.93696528673172,0.9751436710357666,0.4806181890057893,0.25322291254997253,0.45881837606430054,0,0,0,0,0.008902885,0.011212484,0.010207599,0.5534223,0.026969992,0.024660394,0.025665278,-0.5175494,False,False,False,False,Científicos mexicanos realizaron un increíble hallazgo
AMA_7,Amarillismo Real (Prensa),1,Amarillista,26,0.003521612146869302,0,0.581814169883728,0.930945634841919,0.20485755801200867,0.9281576871871948,0.9190695881843567,0.9253697395324707,0.5357337336977216,0.20484930276870728,0.3491314649581909,0,0,0,0,0.0073319036,0.012148772,0.018683895,0.006740084,-0.0038102914,-0.00862716,-0.015162284,-0.0032184718,False,False,False,False,los científicos pudieron al fin retratar la criatura completa
AMA_8,Amarillismo Real (Prensa),1,Amarillista,14,0.5463206768035889,1,0.46360287070274353,0.9790626764297485,0.06871116161346436,0.9259756803512573,0.899336576461792,0.8460583686828613,0.4222294394263214,0.29325443506240845,0.515459805727005,0,1,1,1,0.03786641,0.021067338,0.019327283,0.68526405,0.50845426,0.52525336,0.5269934,-0.13894337,True,True,True,False,Harvard descubrió una alternativa impensada para bajar de peso
AMA_9,Amarillismo Real (Prensa),0,No Amarillista,18,0.004495137836784124,0,0.4611870348453522,0.7193512916564941,0.08663754165172577,0.7109854221343994,0.6858776211738586,0.5523746013641357,0.4206199634316458,0.1573253720998764,0.25816425681114197,1,0,0,0,0.013611178,0.010949545,0.011245833,0.011890324,-0.009116041,-0.006454407,-0.006750695,-0.007395186,False,False,False,False,han encontrado pruebas de que el agua dulce en la Tierra
